Base_Model,Stereotype,Fusion,Dataset_Name,Sigma,Round,InitAcc,InitF1,InitFairness,FinalAcc,FinalBaseAcc,FinalF1,FinalBaseF1,FinalFairness,FinalBaseFairness
TextRCNN,Normal,SUM_Tanh,HyperPartisan,0.0,4,0.0,0.0,0,0.8153846153846154,0.7538461538461538,0.7981366459627329,0.7435897435897436,17.944815750641133,17.530912859315485
TextCNN,Normal,SUM_Tanh,ARC,0.1,4,0.0,0.0,0,0.6953125,0.703125,0.5883006513449527,0.6004115563130005,41.61883086985419,41.652112779813855
TextCNN,Normal,SUM_Tanh,Twitter,0.25,4,0.0,0.0,0,0.9117647058823528,0.9080882352941176,0.8402349486049927,0.8320780343252252,18.613659104486885,18.78435536177317
TextRCNN,Normal,SUM_Tanh,Twitter,0.0,4,0.0,0.0,0,0.9080882352941176,0.8970588235294118,0.828969541487462,0.7810235767682576,19.12637402942646,19.80323596473324
TextRCNN,Normal,SUM_Tanh,ARC,0.0,4,0.0,0.0,0,0.703125,0.703125,0.5879282622139765,0.5879282622139765,41.79243990496581,41.79243990496581
TextCNN,Normal,SUM_Tanh,HyperPartisan,0.75,4,0.0,0.0,0,0.8,0.8153846153846154,0.7790849673202613,0.7981366459627329,18.458732934145488,18.458732934145488
TextCNN,Normal,SUM_Tanh,SCIERC,0.25,4,0.6443514644351465,0.4833948193932472,999999,0.6317991631799164,0.6555090655509066,0.5055317807412288,0.4924744769588984,37.05833996809494,38.97865883321146
TextRCNN,Normal,SUM_Tanh,HyperPartisan,0.0,4,0.0,0.0,0,0.8153846153846154,0.8153846153846154,0.8018292682926829,0.8018292682926829,17.761653432691077,17.761653432691077
TextCNN,Normal,SUM_Tanh,Twitter,1.5,4,0.0,0.0,0,0.9154411764705882,0.9154411764705882,0.8622724170574378,0.8557162296178418,18.71841292220571,18.86249783877087
TextRCNN,Normal,SUM_Tanh,SCIERC,0.0,4,0.7475592747559274,0.6096319020475385,999999,0.7405857740585774,0.7391910739191074,0.6316332464470432,0.6240169423325428,36.79562760410705,37.06578898954381
TextCNN,Normal,SUM_Tanh,ARC,0.8,4,0.0,0.0,0,0.6953125,0.671875,0.6054365699461756,0.5390185128082137,41.20402079750911,41.22757774064576
TextRCNN,Normal,SUM_Tanh,Twitter,0.5,4,0.0,0.0,0,0.9080882352941176,0.9117647058823528,0.8378752115966908,0.8342642429166243,18.89777524871233,19.22578128242414
TextRCNN,Normal,SUM_Tanh,ARC,0.0,4,0.0,0.0,0,0.6953125,0.6953125,0.5677577052577053,0.5677577052577053,41.13456275715939,41.13456275715939
TextCNN,Normal,SUM_Tanh,Amazon,0.15,4,0.7133333333333334,0.7126148705096074,999999,0.735,0.7333333333333333,0.7349992638868441,0.7333303703374483,16.186150427903428,16.17321425794417
TextCNN,Normal,SUM_Tanh,ARC,0.4,4,0.0,0.0,0,0.7421875,0.734375,0.5793764801065255,0.5754881643179516,41.36138890119404,41.32611404388819
TextCNN,Normal,SUM_Tanh,Economy,0.9,4,0.7533557046979866,0.5917256548503897,999999,0.738255033557047,0.738255033557047,0.6184191085939424,0.6184191085939424,16.60787669622754,16.60787669622754
TextRCNN,Normal,SUM_Tanh,Amazon,0.35,4,0.735,0.7339884170637787,999999,0.7516666666666667,0.75,0.7516604581781212,0.74997499749975,16.244862690758616,16.238045664085682
TextRCNN,Normal,SUM_Tanh,Economy,0.6,4,0.7869127516778524,0.6106679011393155,999999,0.7634228187919463,0.7634228187919463,0.599933350789079,0.599933350789079,18.019881287572552,18.019881287572552
TextRCNN,Normal,SUM_Tanh,ARC,0.0,4,0.0,0.0,0,0.6875,0.6875,0.6106042952637858,0.6106042952637858,41.429682097522765,41.429682097522765
TextCNN,Normal,SUM_Tanh,SCIERC,0.25,4,0.0,0.0,0,0.6094839609483961,0.6262203626220363,0.4786987280711946,0.4640265588928001,37.25626998466029,38.734129011572335
TextRCNN,Normal,SUM_Tanh,SCIERC,0.0,4,0.0,0.0,0,0.7377963737796374,0.7377963737796374,0.6370639328129479,0.6370639328129479,36.476195631601854,36.476195631601854
TextCNN,Normal,SUM_Tanh,Parties,0.1,4,0.5581510934393639,0.5518271881670438,999999,0.5994035785288271,0.5984095427435387,0.592811544595903,0.5855806066439824,13.717199696291653,13.920298321888694
TextCNN,Normal,SUM_Tanh,ChemProt,0.65,4,0.5575880758807588,0.3213729923284216,999999,0.5650406504065041,0.5677506775067751,0.3289708315850808,0.3163557661404689,49.12235472806887,49.41347811035037
TextRCNN,Normal,SUM_Tanh,Parties,0.0,4,0.6227634194831014,0.6183236671327936,999999,0.5964214711729622,0.5964214711729622,0.5945690541704884,0.5945690541704884,13.648279732958017,13.648279732958017
TextRCNN,Normal,SUM_Tanh,ChemProt,0.05,4,0.641260162601626,0.4080197744326621,999999,0.6172086720867209,0.6615853658536586,0.4306846242050884,0.4011955626253759,49.38408872571005,50.05804872236851
TextCNN,Normal,SUM_Tanh,Amazon,0.25,4,0.0,0.0,0,0.73,0.73,0.729924979160878,0.72997299729973,16.174181606753777,16.14619546934358
TextCNN,Normal,SUM_Tanh,SCIERC,0.15,4,0.0,0.0,0,0.6276150627615062,0.6234309623430963,0.4792930465243863,0.440542448096849,37.88903091544298,39.42088559287648
TextCNN,Normal,SUM_Tanh,Economy,0.7,4,0.0,0.0,0,0.7466442953020134,0.7416107382550335,0.6233452612635235,0.6169537927350427,17.171051307363207,17.139650169014686
TextRCNN,Normal,SUM_Tanh,Amazon,0.3,4,0.0,0.0,0,0.7466666666666667,0.7466666666666667,0.7463256155497948,0.7463256155497948,16.137798154545354,16.137798154545354
TextRCNN,Normal,SUM_Tanh,SCIERC,0.05,4,0.0,0.0,0,0.7447698744769874,0.7433751743375174,0.6414408287182389,0.6356827871081261,37.09761377761564,36.95937703079558
TextRCNN,Normal,SUM_Tanh,Economy,0.05,4,0.0,0.0,0,0.7969798657718121,0.7969798657718121,0.6195751370227941,0.6195751370227941,19.07534835056361,19.07534835056361
TextCNN,Normal,SUM_Tanh,SCIERC,0.25,4,0.0,0.0,0,0.6276150627615062,0.6401673640167364,0.4760526338326427,0.4624062861242308,38.2637866278434,39.276800545782045
TextCNN,Normal,SUM_Tanh,Amazon,0.55,4,0.0,0.0,0,0.75,0.7383333333333333,0.74997499749975,0.7381696893892016,16.22611661303981,16.2560962658385
TextCNN,Normal,SUM_Tanh,Parties,0.05,4,0.0,0.0,0,0.591948310139165,0.591948310139165,0.5772632199613104,0.5772632199613104,13.842865090502915,13.842865090502915
TextRCNN,Normal,SUM_Tanh,SCIERC,0.0,4,0.0,0.0,0,0.7419804741980475,0.7419804741980475,0.6305803539247995,0.6305803539247995,37.088326329803465,37.088326329803465
TextCNN,Normal,SUM_Tanh,Economy,0.65,4,0.0,0.0,0,0.7432885906040269,0.7298657718120806,0.602130973729335,0.6051047158125199,16.884086885590506,16.367773995361027
TextCNN,Normal,SUM_Tanh,ChemProt,0.35,4,0.0,0.0,0,0.5667344173441734,0.5670731707317073,0.3321612041618197,0.3317997954214465,48.99171954755611,49.02910666349259
TextRCNN,Normal,SUM_Tanh,Amazon,0.0,4,0.0,0.0,0,0.7516666666666667,0.75,0.7516494200986179,0.7499888883950399,16.201101137827497,16.200322942260453
TextRCNN,Normal,SUM_Tanh,Parties,0.0,4,0.0,0.0,0,0.5999005964214712,0.5999005964214712,0.5923963443866604,0.5923963443866604,13.850114374582596,13.850114374582596
TextRCNN,Normal,SUM_Tanh,ChemProt,0.5,4,0.0,0.0,0,0.6598915989159891,0.6598915989159891,0.4404744589191636,0.4404744589191636,49.811689578744456,49.811689578744456
TextRCNN,Normal,SUM_Tanh,Economy,2.0,4,0.0,0.0,0,0.8070469798657718,0.7936241610738255,0.6074253541133277,0.4862609061284558,19.77088492398405,21.02041300782673
TextRCNN,RandomMask,SUM_Tanh,HyperPartisan,0.5,1,0,0,0,0.8153846153846154,0.8153846153846154,0.805,0.805,17.789306225985126,17.789306225985126
TextRCNN,RandomMask,SUM_Tanh,ARC,0.0,1,0,0,0,0.703125,0.703125,0.6201458752515091,0.6201458752515091,41.510896590757646,41.510896590757646
TextCNN,RandomMask,SUM_Tanh,HyperPartisan,0.0,1,0,0,0,0.8153846153846154,0.8153846153846154,0.7981366459627329,0.7981366459627329,17.928350202060585,17.412793310514132
TextCNN,RandomMask,SUM_Tanh,Twitter,1.0,1,0,0,0,0.9227941176470589,0.9227941176470589,0.8507174032355016,0.8507174032355016,19.052445694134004,19.052445694134004
TextRCNN,RandomMask,SUM_Tanh,Twitter,0.35,1,0,0,0,0.9080882352941176,0.9154411764705882,0.8405814089790177,0.8455117915792073,18.683972638133138,19.082401870643416
TextCNN,RandomMask,SUM_Tanh,ARC,0.0,1,0,0,0,0.703125,0.703125,0.5591473743647656,0.5591473743647656,41.39835228683121,41.39835228683121
TextCNN,RandomMask,SUM_Tanh,SCIERC,0.25,1,0,0,0,0.6373779637377964,0.6485355648535565,0.5001425607628232,0.4814206724583129,37.44142282054854,39.009505520957326
