Dataset,Model,Stereotype,N_GRAM,dev_maf1,test_acc,test_bacc,test_maf1,test_bmaf1,mark,BatchNo
Amazon,TextCNN,Noun,1,0.7099967777419749,0.7316666666666667,0.73,0.7315406399115141,0.7298919567827131,11,40,0
SCIERC,TextCNN,Normal,1,0.3123275989939219,0.5857740585774058,0.6276150627615062,0.4587748545164863,0.44803538379700747,12,40,0
Economy,TextCNN,Normal,1,0.49622352435222017,0.7818791946308725,0.7835570469798657,0.5307655038759691,0.5416122627841671,11,40,0
Amazon,TextCNN,Noun,1,0.72997299729973,0.7116666666666667,0.7216666666666667,0.7116466421279255,0.7216658935163709,12,40,0
SCIERC,TextCNN,Normal,1,0.2720882073613874,0.6094839609483961,0.6150627615062761,0.45131389325277577,0.4448311991319943,13,40,0
Amazon,TextCNN,Noun,1,0.7016260546574395,0.7033333333333334,0.7133333333333334,0.7032509030286191,0.7131293364170075,13,40,0
Economy,TextCNN,Normal,1,0.5470588235294117,0.7734899328859061,0.7718120805369127,0.5681043506266942,0.5742409917008089,12,40,0
SCIERC,TextCNN,Normal,1,0.29352055943035743,0.5662482566248257,0.602510460251046,0.4306736208067759,0.4438920591842218,14,40,0
SCIERC,TextCNN,Normal,1,0.27428959313857815,0.592747559274756,0.6415620641562064,0.45703521114601303,0.46153245987857777,15,40,0
Amazon,TextCNN,Noun,1,0.721014926536715,0.71,0.7183333333333334,0.7092731829573935,0.7176737879323641,14,40,0
Economy,TextCNN,Normal,1,0.5212446558101551,0.7953020134228188,0.7969798657718121,0.6044391252312045,0.6094385503149253,13,40,0
News,TextRCNN,Noun,1,0.6978746719216568,0.762036642522369,0.7596932253941202,0.7582051460380874,0.7512577651652156,1,40,0
SCIERC,TextCNN,Normal,1,0.31258810746188503,0.5899581589958159,0.6457461645746164,0.43347032207216507,0.4218674082913683,16,40,0
Amazon,TextCNN,Noun,1,0.7332859174964438,0.6983333333333334,0.71,0.6980305250542905,0.7091727580673917,15,40,0
Economy,TextCNN,Normal,1,0.563782991202346,0.7348993288590604,0.7315436241610739,0.5657098583234947,0.5800081038704791,14,40,0
SCIERC,TextCNN,Normal,1,0.265050745300534,0.5941422594142259,0.6192468619246861,0.4769002753633295,0.4835709194063707,17,40,0
Amazon,TextCNN,Noun,1,0.714935860568628,0.715,0.7116666666666667,0.7147139214601308,0.7111652173913043,16,40,0
Economy,TextCNN,Normal,1,0.5387335261973643,0.8036912751677853,0.802013422818792,0.5884925201380897,0.587073439958665,15,40,0
SCIERC,TextCNN,Normal,1,0.27716921791173643,0.6178521617852162,0.6331938633193863,0.445378741726283,0.43576955440639403,18,40,0
Amazon,TextCNN,Noun,1,0.7152714970019763,0.7083333333333334,0.7333333333333333,0.7063750178272311,0.7323698648467817,17,40,0
Economy,TextCNN,Normal,1,0.6039757034521432,0.7785234899328859,0.7768456375838926,0.5515731874145007,0.5782158725091122,16,40,0
SCIERC,TextCNN,Normal,1,0.26994986513166774,0.606694560669456,0.6094839609483961,0.4686046692192171,0.45759710643426504,19,40,0
Amazon,TextCNN,Noun,1,0.6630781273042847,0.695,0.7016666666666667,0.6878189691202352,0.6952594976037862,18,40,0
SCIERC,TextCNN,Normal,1,0.2685894364678093,0.6206415620641562,0.6206415620641562,0.443947315705118,0.443947315705118,20,40,0
Economy,TextCNN,Normal,1,0.5153407548194406,0.7869127516778524,0.790268456375839,0.5664610432381967,0.6035863463431506,17,40,0
Amazon,TextCNN,Noun,1,0.7126148705096074,0.7233333333333334,0.7233333333333334,0.7231364525885073,0.7231364525885073,19,40,0
SCIERC,TextCNN,Normal,1,0.26712839601485655,0.6234309623430963,0.6387726638772664,0.4544852270262079,0.4475928923313376,21,40,0
Economy,TextCNN,Normal,1,0.5057159152903834,0.7667785234899329,0.7667785234899329,0.5388717263644207,0.5472782814455355,18,40,0
Amazon,TextCNN,Noun,1,0.6982922675586398,0.7,0.6983333333333334,0.6997297567811029,0.6979633384229014,20,40,0
SCIERC,TextCNN,Normal,1,0.2959639695508833,0.5843793584379359,0.6304044630404463,0.43125215691738766,0.43459152976450016,22,40,0
Economy,TextCNN,Normal,1,0.5628445628445629,0.7718120805369127,0.75,0.6039712320200126,0.6125327783377182,19,40,0
Amazon,TextCNN,Noun,1,0.7063403781979978,0.7066666666666667,0.7066666666666667,0.7054853356240028,0.7054853356240028,21,40,0
SCIERC,TextCNN,Normal,1,0.25332780561057533,0.6080892608089261,0.6262203626220363,0.4586482440758946,0.4531305366261197,23,40,0
Economy,TextCNN,Normal,1,0.5283902579622424,0.7869127516778524,0.7818791946308725,0.5341887442690544,0.5583675330597355,20,40,0
SCIERC,TextCNN,Normal,1,0.251566426198484,0.6052998605299861,0.6234309623430963,0.456574865012582,0.4509746012332852,24,40,0
Amazon,TextCNN,Noun,1,0.7382453546886593,0.7033333333333334,0.73,0.7033300370004111,0.729924979160878,22,40,0
