DatasetName,BaseModel,Stereotype,Epoch,TestAcc,TestBAcc,TestmaF1,TestBmaF1,DevmaF1,TestDevmaF1,FactualKeywordFairness,CounterfactualKeywordFairness,Batch,NGRAM
Parties,TextRCNN,Keyword,1,0.5159045725646123,0.5159045725646123,0.4901744089244089,0.4901744089244089,0.3130761351997269,0.48495443093911095,15.66751917763835,15.66751917763835,1,2
Amazon,TextRCNN,Idiom,2,0.6516666666666666,0.6683333333333333,0.6516579581156197,0.6670672641238489,0.673202614379085,0.6659580929243851,16.237970465410463,16.175258897578058,1,1
Amazon,TextRCNN,RandomMask,5,0.7133333333333334,0.7183333333333334,0.7126148705096074,0.7180506007412989,0.7165943246196802,0.7137907659862921,16.22604356909679,16.28511742751467,1,1
Amazon,TextRCNN,Noun,5,0.7116666666666667,0.7116666666666667,0.711081606920681,0.7106821824263118,0.7082936288550385,0.7254464285714286,16.276833857112486,16.27908480734003,1,1
Amazon,TextRCNN,Normal,5,0.7066666666666667,0.705,0.7061965811965814,0.7047038836166267,0.7127587201245271,0.7085720028137876,16.22365564153623,16.23318798452498,1,1
Economy,TextRCNN,RandomMask,5,0.7953020134228188,0.790268456375839,0.6008344312692138,0.4491885697386418,0.5601739044730026,0.44183864915572235,21.37530195752967,19.659466117667765,1,1
Economy,TextRCNN,Normal,5,0.7969798657718121,0.790268456375839,0.5655427101469357,0.4491885697386418,0.5356327462491847,0.44183864915572235,21.426165920887556,19.94875322721506,1,1
Economy,TextRCNN,Noun,5,0.785234899328859,0.7919463087248322,0.6026666666666667,0.44977515709223026,0.5668031589540024,0.44183864915572235,21.47382483649683,19.187935819737767,1,1
Amazon,TextRCNN,Keyword,5,0.695,0.695,0.694183640217358,0.694183640217358,0.7022614746420448,0.726196908656713,16.304423026533087,16.312983427307064,1,2
Economy,TextRCNN,Keyword,5,0.790268456375839,0.7885906040268457,0.6167991152946017,0.4486019736842105,0.5551119450361864,0.4502535211267606,21.426165920887556,18.675986806259054,1,2
Amazon,TextRCNN,Idiom,3,0.6683333333333333,0.6666666666666666,0.6680668647886775,0.6517944194252285,0.6783419735656606,0.6383618674640347,17.21850271805317,16.15599242431478,1,1
Amazon,TextRCNN,RandomMask,6,0.7083333333333334,0.7083333333333334,0.7046504890144045,0.7046504890144045,0.6948647117974087,0.7310183240242365,16.399457506786142,16.399457506786142,1,1
Amazon,TextRCNN,Noun,6,0.705,0.7066666666666667,0.6992447134187267,0.7013574660633484,0.6955391351943075,0.7166719766965546,16.501362086336417,16.525271386949868,1,1
Amazon,TextRCNN,Normal,6,0.7083333333333334,0.7083333333333334,0.705485542145019,0.705485542145019,0.6825112263220747,0.705998310335117,16.36903603454423,16.36903603454423,1,1
Economy,TextRCNN,Idiom,1,0.7785234899328859,0.7919463087248322,0.5936615499039315,0.44194756554307113,0.38274693373359453,0.44183864915572235,21.576155433880274,18.771148853948734,1,1
Economy,TextRCNN,RandomMask,6,0.8003355704697986,0.7885906040268457,0.6351927577604608,0.47030443246903475,0.5698415607689802,0.4761924567277365,20.887662573763084,19.1162585720804,1,1
Economy,TextRCNN,Normal,6,0.7802013422818792,0.7969798657718121,0.6550423045485675,0.49461438732961915,0.6091444100496725,0.4777953308758996,21.054559273372806,17.7894506334527,1,1
Economy,TextRCNN,Noun,6,0.8053691275167785,0.7936241610738255,0.6696672591403399,0.4862609061284558,0.5911360349061273,0.49089253811033007,20.85568661263913,18.633771277923532,1,1
Parties,TextRCNN,Idiom,1,0.4850894632206759,0.4850894632206759,0.45483210530335283,0.45483210530335283,0.3130761351997269,0.46566829741154014,16.078504443152283,16.078504443152283,1,1
Amazon,TextRCNN,Keyword,6,0.7033333333333334,0.7033333333333334,0.6994732339831615,0.6994732339831615,0.6754352573477851,0.7362012987012987,16.39383726776458,16.39383726776458,1,2
Economy,TextRCNN,Keyword,6,0.7550335570469798,0.7936241610738255,0.6575413629708925,0.5053140879000749,0.5926129352634906,0.5009392697957175,20.936840294850427,16.566915098128792,1,2
Amazon,TextRCNN,Idiom,4,0.6866666666666666,0.7,0.6862448402852723,0.6977296135417133,0.7078260869565217,0.6851237731551267,16.501491643537996,16.238732339128813,1,1
Parties,TextRCNN,Noun,2,0.5675944333996024,0.5675944333996024,0.5209209143457698,0.5209209143457698,0.3130761351997269,0.5258592229635808,15.21394819703548,15.21394819703548,1,1
Parties,TextRCNN,RandomMask,2,0.5566600397614314,0.5800198807157058,0.5404393049374434,0.5032407947142161,0.3130761351997269,0.49974804492972547,16.873439485681224,14.007409726010126,1,1
